grove,array,butterfly_present,temp_mean,temp_range,temp_std,diurnal_range,isothermality,temp_stability,temp_extremity,hum_mean,hum_range,hum_std,dewpt_mean,dewpt_range,light_mean,light_range,light_std,sat_vp,actual_vp,vpd,cold_days,humid_days,n_observations
AB,Cluster,1,14.308820428049637,39.353,5.602220754343845,21.50254411764706,54.640164962384205,0.17850064177221522,0.006028761382987469,66.77266429228273,97,13.245999168927781,6.112396261101649,39.1,11650.04974579841,128347.52686567164,28100.567029787428,1.6308715455415213,1.0889763821428027,0.5418951633987186,0,33,68
AB,NE,0,12.96350871810172,24.236,2.8835542051513077,10.468926470588235,43.19576856984747,0.3467942437889866,0.20900177365726869,68.43784814260191,89.5,10.939451946972943,5.836885077127735,31.5,2112.70034653337,43631.78955223881,4868.4268526725,1.494150499451171,1.0225644498363204,0.4715860496148505,0,34,68
AB,NW,0,12.848481701861306,28.398,3.0867109253928486,12.182323529411764,42.89852640823919,0.3239694367792893,0.05223517408350631,71.146921823294,92.5,10.315428909445405,6.189557649427008,35.7,1545.9387586626383,18227.56865671642,2793.732389696238,1.4829418113807717,1.0550674512280176,0.42787436015275415,0,39,68
AB,SE,0,14.299493002562352,41.527,6.2235971453682835,22.173375,53.39508030919643,0.1606787805576745,0.10894612756235311,66.72284887161575,99,15.224467112668345,6.096469948302656,39.8,19236.306540249574,158266.86086956522,41786.62479636455,1.6298870701100534,1.0875070865675367,0.5423799835425167,0,40,72
AB,SW,0,12.825952517601001,34.857,4.07961183536258,17.787676470588234,51.03042852393561,0.24512135966757337,0.05462039906569949,67.98397190264329,90.5,13.20570749148154,6.484919902510427,27.799999999999997,7781.737315304152,134098.04925373135,21269.672821351436,1.480755144457347,1.0066761613548278,0.47407898310251917,0,24,68
BL,Cluster,1,11.322893284819965,27.341,3.815057307960059,13.457525,49.221041659046854,0.2621192604141267,0.3465442151800353,88.71035256410258,79.5,9.87722958158261,8.942162432731866,21.8,2804.8814658492547,75592.79615384615,7885.6235369176275,1.3411125015744598,1.189705628427959,0.1514068731465008,5,27,42
BL,NE,0,11.843287016912509,36.828,4.367854288798056,18.605394736842104,50.51969897046297,0.22894536627850273,0.4902077747541398,67.8310769142484,78,12.359363951938507,4.718128499702564,23.8,6001.072487136547,92146.18648648649,14939.170253833792,1.388090529098588,0.9415567544322608,0.44653377466632727,5,8,41
BL,NW,0,11.061274042530442,29.961,3.743712077799321,12.088761904761904,40.34832583946432,0.267114558817203,0.19733706858065858,80.35885753163363,79.5,10.298811968071627,7.076240838331743,24,1020.5426723238559,35711.045945945945,3193.5995122854297,1.3180272284925252,1.0591516227724476,0.2588756057200776,6,33,42
BL,SE,0,12.121276446921351,36.796,5.41067947856194,20.379261904761904,55.38444913784625,0.18481967079406111,0.42043709474529756,78.56687644675927,84,11.455828471191897,7.1950697936621975,25.6,10317.427540884402,119958.80540540541,21970.077445624574,1.413773219967419,1.1107574589691722,0.3030157609982467,6,22,42
BL,SW,0,10.866207395463233,29.468,3.6444873305274825,13.06096875,44.322549036242705,0.2743870150469876,0.4056085767589668,81.28574084167744,81.5,9.875843583744174,7.203850146021745,24.099999999999998,1158.8767214366512,41726.088461538464,3914.1316920926865,1.3010425411731001,1.0575620682579405,0.24348047291515962,6,22,41
